@relation Flowering2016-weka.filters.supervised.instance.StratifiedRemoveFolds-S1-V-N10-F1

@attribute 'Weight Diff' numeric
@attribute 'Hour min' numeric
@attribute 'Hour max' numeric
@attribute 'Dur min' numeric
@attribute 'Dur max' numeric
@attribute Stage {pre-flowering,flowering-stage-1,flowering-stage-2,post-flowering}

@data
0.76,9.449477,22.829268,0.66899,0.418118,flowering-stage-2
0.4,15.080139,21.909408,1.254355,4.181185,flowering-stage-1
0.4,17.644599,22.703833,0,2.592334,flowering-stage-1
0.8,11.223022,21.847296,0.172662,2.676259,flowering-stage-1
1.016667,7.594406,21.32114,2.937063,3.356643,flowering-stage-1
0.7,10.787456,22.034843,0.66899,0.418118,flowering-stage-1
0.8,13.248382,22.874296,0.585366,2.25784,flowering-stage-1
0.76,13.839721,22.578397,0.418118,2.843206,flowering-stage-1
0.153333,13.183099,21.978332,2.366197,3.295775,flowering-stage-1
0.3,11.244755,22.27972,1.342657,3.440559,flowering-stage-1
0.2,11.854103,20.553191,0.765957,1.617021,flowering-stage-1
0.6,11.698026,22.241019,0.752613,2.425087,flowering-stage-1
0.5,9.460744,21.107914,5.956835,1.81295,flowering-stage-1
0.8,12.391304,21.565217,0.434783,2.086957,flowering-stage-1
1.1,12.167247,22.622997,0.752613,1.254355,flowering-stage-1
0.7,10.745645,22.034843,1.254355,0.585366,flowering-stage-1
0.046667,7.031579,14.868421,0.252632,2.778947,post-flowering
0.04,7.233449,16.173092,0.083624,5.602787,post-flowering
-0.066667,7.108014,17.097063,0.167247,5.351916,post-flowering
-0.1,16.891986,2.090592,5.519164,0,pre-flowering
0.3,12.543554,20.738676,2.341463,3.84669,pre-flowering
-0.1,15.067944,18.543554,3.1777,0.334495,pre-flowering
-0.1,20.278746,15.198606,0.418118,1.672474,pre-flowering
0.233333,6.923077,21.818182,0.251748,0,flowering-stage-2
0.26,11.216783,23.034965,5.706294,1.93007,flowering-stage-2
0.44,6.923077,22.993007,0.083916,2.013986,flowering-stage-2
0,7.191781,21.863014,0.739726,0.164384,flowering-stage-2
0.733333,10.118467,22.912892,0.167247,1.505226,flowering-stage-2
0.3,7.174825,22.541151,0.251748,1.090909,flowering-stage-2
0.14,14.391608,22.573427,1.090909,0.839161,flowering-stage-1
0.6,12.03454,21.909408,1.923345,0.919861,flowering-stage-1
0.65,10.202091,22.212544,0.334495,0.66899,flowering-stage-1
0.386667,10.289059,22.779854,2.090592,2.25784,flowering-stage-1
0.316667,10.459273,22.662021,4.682927,1.839721,flowering-stage-1
0.65,10.27972,22.774095,0.587413,2.181818,flowering-stage-1
0.116667,13.797909,23.916376,0.167247,0,flowering-stage-1
0.316667,12.334495,23.665505,0.083624,0,flowering-stage-1
0.4,12.649819,22.353791,0.34657,3.292419,flowering-stage-1
0.4,11.911439,22.228782,0.442804,3.542435,flowering-stage-1
0.266667,11.414634,22.034843,1.756098,3.595819,flowering-stage-1
0.3,11.724382,20.69258,0.508834,1.35689,flowering-stage-1
0,10.787456,20.61324,1.672474,0.083624,flowering-stage-1
0.6,13.58885,22.703833,1.756098,2.592334,flowering-stage-1
1.1,11.790941,22.662021,0,1.170732,flowering-stage-1
0.08,6.982578,14.486575,0.083624,4.013937,post-flowering
-0.1,7.02439,17.250067,0.167247,3.512195,post-flowering
